Компания,Номер положения оферты,№ пункта Таблицы с НПА,Статус соответствия,Комментарий
"ООО ""Кидс Рус""",10.2.,20,соответствует,
"ООО ""Кидс Рус""",10.3.,24,соответствует,
"ООО ""Кидс Рус""",10.4.,24,соответствует,
"ООО ""Кидс Рус""",10.5.,39,не соответствует,
"ООО ""Кидс Рус""",10.6.,6,соответствует,
"ООО ""Кидс Рус""",11.1.,6,соответствует,
"ООО ""Кидс Рус""",11.2.,6,соответствует,
"ООО ""Кидс Рус""",11.3.,15,соответствует,
"ООО ""Кидс Рус""",11.4.,6,не соответствует,
"ООО ""Кидс Рус""",13.1.,31,соответствует,
"ООО ""Кидс Рус""",13.2.,45,соответствует,
"ООО ""Кидс Рус""",13.3.,45,не соответствует,
"ООО ""Кидс Рус""",13.4.,6,соответствует,
"ООО ""Кидс Рус""",14.1.,31,соответствует,
"ООО ""Кидс Рус""",14.2.,4,соответствует,
"ООО ""Кидс Рус""",14.3.,20,соответствует,
"ООО ""Кидс Рус""",14.4.,46,соответствует,
"ООО ""Кидс Рус""",14.5.,36,соответствует,
"ООО ""Остин""",1.,1,соответствует ,
"ООО ""Остин""",1.2.,2,соответствует ,
"ООО ""Остин""",1.3.,2,соответствует ,
"ООО ""Остин""",1.4.,5,соответствует ,
"ООО ""Остин""",1.5.,38,соответствует ,
"ООО ""Остин""",1.6.,38,соответствует ,
"ООО ""Остин""",1.7.,38,соответствует ,
"ООО ""Остин""",1.8.,19,соответствует ,
"ООО ""Остин""",1.9.,19,соответствует,
"ООО ""Остин""",2.1.,31,соответствует,
"ООО ""Остин""",2.2.,30,соответствует,
"ООО ""Остин""",2.3.,1,соответствует,
"ООО ""Остин""",2.4.,22,соответствует,
"ООО ""Остин""",3.1.,1,не соответствует,
"ООО ""Остин""",3.2.,43,соответствует,
"ООО ""Остин""",3.3.,43,соответствует,
"ООО ""Остин""",3.4.,38,соответствует,
"ООО ""Остин""",3.5.,38,соответствует,
"ООО ""Остин""",3.6.,24,соответствует,
"ООО ""Остин""",3.7.,38,соответствует,
"ООО ""Остин""",3.8.,33,соответствует,
"ООО ""Остин""",3.9.,32,соответствует,
"ООО ""Остин""",3.10.,34,соответствует,
"ООО ""Остин""",3.11.,38,соответствует,
"ООО ""Остин""",3.12.,35,соответствует,
"ООО ""Остин""",3.13.,37,соответствует,
"ООО ""Остин""",3.14.,38,соответствует,
"ООО ""Остин""",3.15.,38,соответствует,
"ООО ""Остин""",3.16.,38,соответствует,
"ООО ""Остин""",3.17.,38,соответствует,
"ООО ""Остин""",3.18.,38,соответствует,
"ООО ""Остин""",3.19.,21,соответствует,
"ООО ""Остин""",3.20.,21,соответствует,
"ООО ""Остин""",3.21.,38,соответствует,
"ООО ""Остин""",4.1.,24,соответствует,
"ООО ""Остин""",4.2.,24,соответствует,
"ООО ""Остин""",4.3.,24,соответствует,
"ООО ""Остин""",4.4.,39,не соответствует,
"ООО ""Остин""",4.5.,23,соответствует,
"ООО ""Остин""",4.6.,25,соответствует,
"ООО ""Остин""",4.7.,40,соответствует,
"ООО ""Остин""",4.8.,26,соответствует,
"ООО ""Остин""",4.9.,38,соответствует,
"ООО ""Остин""",4.10.,39,не соответсвует,
"ООО ""Остин""",5.1.,41,соответствует,
"ООО ""Остин""",5.2.,41,соответствует,
"ООО ""Остин""",5.3.,23,соответствует,
"ООО ""Остин""",5.4.,41,соответствует,
"ООО ""Остин""",6.1.,12,соответствует,
"ООО ""Остин""",6.2.,12,соответствует,
"ООО ""Остин""",6.3.,6,соответствует,
"ООО ""Остин""",6.4.,6,не соответствует,
"ООО ""Остин""",6.5.,12,соответствует,
"ООО ""Остин""",6.6.,38,соответствует,
"ООО ""Остин""",7.1.,27,соответствует,
"ООО ""Остин""",7.2.,38,соответствует,
"ООО ""Остин""",7.3.,31,соответствует,
"ООО ""Остин""",7.4.,46,соответствует,
"ООО ""Остин""",7.5.,48,соответствует,
"ООО ""Остин""",7.6.,49,соответствует,
